OBJECT,FULLOBJECT,THEME,TITLE,ABSTRACT,METADATA URL
aarroutes,aarroutes_line,transportation,Adopt-a-Road Routes,Routes in the Adopt-A-Road program (litter reduction); whether they are active and if so; which grou ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=aarroutes
acs_b00001_popcount,acs_b00001_popcount,census,2011-2015 ACS: Unweighted Sample Count Population (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Unweighted Count subject area. Provi ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b00001_popcount
acs_b00002_hsingcount,acs_b00002_hsingcount,census,2011-2015 ACS: Unweighted Sample Count Housing Units (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Unweighted Count subject area. Provi ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b00002_hsingcount
acs_b01001_sexbyage,acs_b01001_sexbyage,census,2011-2015 ACS: Sex By Age (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Age-Sex subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b01001_sexbyage
acs_b01002_medianagebysex,acs_b01002_medianagebysex,census,2011-2015 ACS: Median Age By Sex (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Age-Sex subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b01002_medianagebysex
acs_b01003_totalpop,acs_b01003_totalpop,census,2011-2015 ACS: Total Population (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Age-Sex subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b01003_totalpop
acs_b02001_race,acs_b02001_race,census,2011-2015 ACS: Race (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Race subject area. Provides informat ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b02001_race
acs_b03002_hispanicbyrace,acs_b03002_hispanicbyrace,census,2011-2015 ACS: Hispanic Or Latino Origin By Race (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Hispanic Origin subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b03002_hispanicbyrace
acs_b04004_totalancestry,acs_b04004_totalancestry,census,2011-2015 ACS: Total People Reporting Single Ancestry (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Ancestry subject area. Provides info ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b04004_totalancestry
acs_b05001_citizenshipstatus,acs_b05001_citizenshipstatus,census,2011-2015 ACS: Nativity And Citizenship Status In The United States (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Foreign Birth subject area. Provides ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b05001_citizenshipstatus
acs_b05002_birthplace,acs_b05002_birthplace,census,2011-2015 ACS: Place Of Birth By Nativity And  Citizenship Status (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Foreign Birth subject area. Provides ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b05002_birthplace
acs_b05005_yrentrycitizenship,acs_b05005_yrentrycitizenship,census,2011-2015 ACS: Year Of Entry By Nativity And Citizenship Status In The United States (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Foreign Birth subject area. Provides ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b05005_yrentrycitizenship
acs_b05006_birthplaceforeignborn,acs_b05006_birthplaceforeignborn,census,2011-2015 ACS: Place Of Birth For The Foreign-Born Population In The United States (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Foreign Birth subject area. Provides ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b05006_birthplaceforeignborn
acs_b05008_sexbirthplaceyrentry,acs_b05008_sexbirthplaceyrentry,census,2011-2015 ACS: Sex By Place Of Birth By Year Of Entry For The Foreign-Born Population (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Foreign Birth subject area. Provides ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b05008_sexbirthplaceyrentry
acs_b06001_agebirthplaceus,acs_b06001_agebirthplaceus,census,2011-2015 ACS: Place Of Birth By Age In The United States (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Place of Birth - Native subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b06001_agebirthplaceus
acs_b07003_sexgeographicmobility,acs_b07003_sexgeographicmobility,census,2011-2015 ACS: Geographical Mobility In The Past Year By Sex For Current Residence In The United States (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Residence Last Year - Migration subj ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b07003_sexgeographicmobility
acs_b07204_geographicmobility,acs_b07204_geographicmobility,census,2011-2015 ACS: Geographical Mobility In The Past Year For Current Residence--State; County And Place Level In The United States (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Residence Last Year - Migration subj ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b07204_geographicmobility
acs_b08006_sextransportwork,acs_b08006_sextransportwork,census,2011-2015 ACS: Sex Of Workers By Means Of Transportation To Work (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08006_sextransportwork
acs_b08007_sexplaceworkplstateco,acs_b08007_sexplaceworkplstateco,census,2011-2015 ACS: Sex Of Workers By Place Of Work--State And County Level (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08007_sexplaceworkplstateco
acs_b08008_sexplaceworkplplace,acs_b08008_sexplaceworkplplace,census,2011-2015 ACS: Sex Of Workers By Place Of Work--Place Level (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08008_sexplaceworkplplace
acs_b08101_agetransportwork,acs_b08101_agetransportwork,census,2011-2015 ACS: Means Of Transportation To Work By Age (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08101_agetransportwork
acs_b08201_householdvehicles,acs_b08201_householdvehicles,census,2011-2015 ACS: Household Size By Vehicles Available (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08201_householdvehicles
acs_b08202_householdworkers,acs_b08202_householdworkers,census,2011-2015 ACS: Household Size By Number Of Workers In Household (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08202_householdworkers
acs_b08301_transportation,acs_b08301_transportation,census,2011-2015 ACS: Means Of Transportation To Work (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08301_transportation
acs_b08303_traveltime,acs_b08303_traveltime,census,2011-2015 ACS: Travel Time To Work (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08303_traveltime
acs_b09001_popunder18,acs_b09001_popunder18,census,2011-2015 ACS: Population Under 18 Years Of Age (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Children - Relationship subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b09001_popunder18
acs_b09002_familyownchildrenunder18,acs_b09002_familyownchildrenunder18,census,2011-2015 ACS: Own Children Under 18 Years By Family Type And Age (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Children - Relationship subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b09002_familyownchildrenunder18
acs_b09018_relationhousehold,acs_b09018_relationhousehold,census,2011-2015 ACS: Relationship To Householder For Children Under 18 Years In Households (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Children - Relationship subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b09018_relationhousehold
acs_b09019_relationhsehldtype,acs_b09019_relationhsehldtype,census,2011-2015 ACS: Household Type (Including Living Alone) By Relationship (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Children - Relationship subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b09019_relationhsehldtype
acs_b09020_relhsdtypeovr65,acs_b09020_relhsdtypeovr65,census,2011-2015 ACS: Relationship By Household Type (Including Living Alone) For The Population 65 Years And Over (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Children - Relationship subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b09020_relhsdtypeovr65
acs_b11001_householdtype,acs_b11001_householdtype,census,2011-2015 ACS: Household Type (Including Living Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Households - Families subject area.  ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b11001_householdtype
acs_b12001_sexmaritalstatus,acs_b12001_sexmaritalstatus,census,2011-2015 ACS: Sex By Marital Status For The Population 15 Years And Over (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Marital Status subject area. Provide ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b12001_sexmaritalstatus
