CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
1701856,16000104006,2016104006,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/25/2016 11:58:30 PM,S KING ST / 8 AV S,K,K3,9100.1019,-122.32245,47.598347,"(47.598347, -122.32245)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/25/2016 10:25:51 PM
1701857,16000103970,2016103970,064,SHOPLIFT,THEFT,SHOPLIFTING,03/25/2016 11:57:22 PM,92XX BLOCK OF RAINIER AV S,S,S3,11800.6020,-122.26803,47.51985,"(47.51985, -122.26803)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,03/25/2016 09:54:23 PM
1701853,16000104108,2016104108,161,TRESPASS,TRESPASS,TRESPASS,03/25/2016 11:54:19 PM,21XX BLOCK OF 4 AV,D,D2,7200.1056,-122.34198,47.614216,"(47.614216, -122.34198)",TRESPASS,TRESPASS,TRESPASS,
1701846,16000104094,2016104094,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/25/2016 11:53:42 PM,19XX BLOCK OF 2 AV,M,M1,8002.1002,-122.3411,47.611347,"(47.611347, -122.3411)",CRISIS - PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,BEHAVIORAL HEALTH,CRISIS CALL,
1701844,16000104117,2016104117,202,ALACAD - COMMERCIAL PANIC (FALSE),PANIC ALACAD (FALSE),FALSE ALACAD,03/25/2016 11:53:04 PM,15XX BLOCK OF 3 AV,M,M3,8100.2009,-122.33825,47.610245,"(47.610245, -122.33825)","ALARM - COMM, HOLD-UP/PANIC (EXCEPT BANKS)",ALACAD,SUSPICIOUS CIRCUMSTANCES,
1701855,16000104026,2016104026,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/25/2016 11:52:32 PM,N 45 ST / BAGLEY AV N,B,B3,5100.1020,-122.33255,47.661377,"(47.661377, -122.33255)","MOTOR VEHICLE COLLISION, HIT AND RUN",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/25/2016 10:40:59 PM
1701854,16000104081,2016104081,186,"NARCOTICS, DRUG TRAFFIC LOITERING",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,03/25/2016 11:50:46 PM,N 59 ST / AURORA AV N,B,B3,3500.3000,-122.34726,47.671722,"(47.671722, -122.34726)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,
1701847,16000104085,2016104085,161,TRESPASS,TRESPASS,TRESPASS,03/25/2016 11:43:43 PM,42XX BLOCK OF UNIVERSITY WY NE,U,U2,5301.3008,-122.31319,47.659054,"(47.659054, -122.31319)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,
1701848,16000104005,2016104005,242,FIGHT DISTURBANCE,DISTURBANCES,DISTURBANCES,03/25/2016 11:42:30 PM,14XX BLOCK OF BROADWAY,E,E2,8400.1008,-122.32077,47.613518,"(47.613518, -122.32077)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,03/25/2016 10:14:16 PM
1701841,16000104083,2016104083,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/25/2016 11:41:54 PM,9XX BLOCK OF E THOMAS ST,E,E1,7500.3014,-122.32041,47.62108,"(47.62108, -122.32041)","MOTOR VEHICLE COLLISION, HIT AND RUN",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,
